,occurrence_id,classification,type of occurrence,localization,fu,country,aerodrome,occurrence_day,time,under_investigation,investigating_command,investigation_status,report_number,published_report,publication_day,recommendation_amount,aircrafts_involved,takeoff,extraction_day
46,33856,SERIOUS INCIDENT,ABOUT LANDING GEAR,BRASÍLIA,Distrito Federal,BRAZIL,SBBR,2008-10-10,19:15:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,,,0,1,,2016-07-30
47,26980,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,BRASÍLIA,Distrito Federal,BRAZIL,SBBR,2006-04-28,14:00:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,,,0,1,1.0,2016-07-30
48,50999,ACCIDENT,SYSTEM / COMPONENT FAILURE,BRASÍLIA,Distrito Federal,BRAZIL,SBBR,2014-03-28,20:42:00,YES,CENIPA,IN PROGRESS,,,,0,1,,2016-07-30
49,45128,ACCIDENT,ANOTHER TYPES,BRASÍLIA,Distrito Federal,BRAZIL,****,2011-08-27,21:00:00,UNKNOWN,SERIPA-6,,,,,0,1,,2016-07-30
50,45392,ACCIDENT,LOSS OF CONTROL IN THE AIR,BRASÍLIA,Distrito Federal,BRAZIL,****,2012-01-19,21:30:00,YES,SERIPA-6,FINISHED,,1.0,2014-04-07,2,1,,2016-07-30
51,41179,SERIOUS INCIDENT,ABOUT LANDING GEAR,BRASÍLIA,Distrito Federal,BRAZIL,SBBR,2010-05-20,22:20:00,YES,SERIPA-6,FINISHED,,1.0,2013-09-22,8,1,,2016-07-30
52,46574,SERIOUS INCIDENT,EXPLOSIVE / NOT INTENTIONAL DECOMPRESSION,BRASÍLIA,Distrito Federal,BRAZIL,SBBR,2012-10-24,22:50:00,YES,CENIPA,IN PROGRESS,UNDEFINED,,,0,1,,2016-07-30
53,44843,ACCIDENT,LOSS OF CONTROL ON THE GROUND,BRASÍLIA,Distrito Federal,BRAZIL,****,2011-05-16,12:00:00,UNKNOWN,SERIPA-6,,,,,0,1,,2016-07-30
54,51436,ACCIDENT,AIRCRAFTS COLLISION IN THE AIR,BRASÍLIA,Distrito Federal,BRAZIL,****,2014-05-19,18:00:00,UNKNOWN,SERIPA-6,,,,,0,2,,2016-07-30
55,31695,SERIOUS INCIDENT,ABOUT LANDING GEAR,BRASÍLIA,Distrito Federal,BRAZIL,SBBR,2008-02-09,09:40:00,YES,CENIPA,IN PROGRESS,UNDEFINED,,,0,1,,2016-07-30
56,39385,SERIOUS INCIDENT,LANDING WITHOUT LANDING GEAR,BRASÍLIA,Distrito Federal,BRAZIL,SBBR,2010-02-21,17:00:00,YES,CENIPA,FINISHED,,1.0,2011-08-01,1,1,,2016-07-30
57,53203,SERIOUS INCIDENT,LANDING BEFORE THE TRACK AREA,BRASÍLIA,Distrito Federal,BRAZIL,SBBR,2015-04-08,16:04:00,YES,CENIPA,IN PROGRESS,,,,0,1,,2016-07-30
58,44244,SERIOUS INCIDENT,SYSTEM / COMPONENT FAILURE,BRASÍLIA,Distrito Federal,BRAZIL,SBBR,2011-03-30,20:25:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,,,0,1,1.0,2016-07-30
59,52289,SERIOUS INCIDENT,LANDING WITHOUT LANDING GEAR,BRASÍLIA,Distrito Federal,BRAZIL,****,2014-08-17,15:05:00,YES,SERIPA-6,FINISHED,,1.0,2015-11-16,0,1,,2016-07-30
60,28093,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,BRASÍLIA,Distrito Federal,BRAZIL,****,2006-12-10,16:00:00,YES,SERIPA-6,FINISHED,,1.0,2009-12-30,7,1,,2016-07-30
61,35602,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,JI-PARANÁ,Rondonia,BRAZIL,****,2009-01-31,00:15:00,YES,CENIPA,IN PROGRESS,UNDEFINED,,,0,1,1.0,2016-07-30
62,50831,ACCIDENT,LOSS OF CONTROL IN THE AIR,ACREÚNA,Goias,BRAZIL,****,2012-09-09,20:00:00,YES,SERIPA-6,FINISHED,,1.0,2014-06-03,1,1,,2016-07-30
63,34416,ACCIDENT,ANOTHER TYPES,BUJARI,Acre,BRAZIL,SBRB,2008-11-01,19:30:00,YES,SERIPA-7,FINISHED,,1.0,2010-07-01,2,1,,2016-07-30
